key,module,page,component,slot,text,notes,status
shared.placeholder.short,shared,*,*,placeholder_short,"--",,active
shared.unit.percent,shared,*,*,unit_percent,"%",,active
shared.unit.thousand_abbrev,shared,*,*,unit_thousand_abbrev,"K",,active
shared.unit.million_abbrev,shared,*,*,unit_million_abbrev,"M",,active
shared.unit.billion_abbrev,shared,*,*,unit_billion_abbrev,"B",,active
shared.data_source,shared,*,*,label,"数据来源：{{source}}",,active
shared.error.prefix,shared,*,*,label,"错误：{{error}}",,active
shared.status.unsynced,shared,*,*,status,"—",,active
error.boundary.title,shared,*,ErrorBoundary,title,"出了点问题",,active
error.boundary.subtitle,shared,*,ErrorBoundary,subtitle,"这个视图渲染失败了",,active
error.boundary.hint,shared,*,ErrorBoundary,hint,"打开控制台，然后重新加载页面",,active
error.boundary.no_details,shared,*,ErrorBoundary,details,"没有错误详细信息",,active
error.boundary.action.reload,shared,*,ErrorBoundary,action_reload,"重新加载",,active
landing.screenshot.alt,landing,LandingPage,LandingPage,screenshot_alt,"TokenTracker 仪表板截图",,active
landing.install.command,landing,LandingPage,LandingPage,install_command,"npx --yes tokentracker-cli",,active
landing.install.action.copy,landing,LandingPage,LandingPage,install_copy,"复制命令",,active
landing.install.action.copied,landing,LandingPage,LandingPage,install_copied,"已复制",,active
landing.meta.title,landing,LandingPage,Meta,title,"Token Tracker —— AI 编程 CLI 的 Token 用量追踪器",,active
landing.meta.description,landing,LandingPage,Meta,description,"自动监控 Claude Code、Cursor、Codex 等工具的 Token 用量。本地优先、注重隐私、零配置。",,active
landing.meta.og_site_name,landing,LandingPage,Meta,og_site_name,"Token Tracker",,active
landing.meta.og_type,landing,LandingPage,Meta,og_type,"website",,active
landing.meta.og_image,landing,LandingPage,Meta,og_image,"https://www.tokentracker.cc/og-image.jpg",,active
landing.meta.og_url,landing,LandingPage,Meta,og_url,"https://www.tokentracker.cc/",,active
landing.meta.twitter_card,landing,LandingPage,Meta,twitter_card,"summary_large_image",,active
share.meta.title,share,SharePage,Meta,title,"Token Tracker 分享",,active
share.meta.description,share,SharePage,Meta,description,"分享你的 Token Tracker 仪表板快照，包含跨模型、项目和时间窗口的用量洞察。",,active
share.meta.og_site_name,share,SharePage,Meta,og_site_name,"Token Tracker",,active
share.meta.og_type,share,SharePage,Meta,og_type,"website",,active
share.meta.og_image,share,SharePage,Meta,og_image,"https://www.tokentracker.cc/share-dashboard.jpg",,active
share.meta.og_url,share,SharePage,Meta,og_url,"https://www.tokentracker.cc/share",,active
share.meta.twitter_card,share,SharePage,Meta,twitter_card,"summary_large_image",,active
landing.cta.primary,landing,LandingPage,LandingPage,cta_primary,"进入仪表板",,active
landing.cta.secondary,landing,LandingPage,LandingPage,cta_secondary,"GitHub",,active
landing.v2.hero.title_line1,landing,LandingPage,MarketingLanding,hero_title_1,"追踪每一个",,active
landing.v2.hero.title_line2,landing,LandingPage,MarketingLanding,hero_title_2,"AI TOKEN",,active
landing.v2.install.win_cta,landing,LandingPage,MarketingLanding,win_cta,"下载 Windows 版",,active
landing.v2.install.os_windows,landing,LandingPage,MarketingLanding,os_windows,"Windows",,active
landing.v2.install.availability,landing,LandingPage,MarketingLanding,availability,"支持 macOS 与 Windows",,active
landing.v2.models.title,landing,LandingPage,MarketingLanding,models_title,"支持的 AI CLI 工具",,active
landing.v2.distill.body,landing,LandingPage,MarketingLanding,distill_body,"100% 本地处理，不上传任何 Prompt 或代码。",,active
landing.v2.footer.line,landing,LandingPage,MarketingLanding,footer_line,"Token Tracker —— 为每一位使用 AI 的人而打造。",,active
landing.v2.nav.github,landing,LandingPage,MarketingLanding,nav_github,"GitHub",,active
landing.v2.nav.privacy,landing,LandingPage,MarketingLanding,nav_privacy,"隐私",,active
landing.v2.cta.primary,landing,LandingPage,MarketingLanding,cta_primary,"仪表板",,active
landing.v2.hero.subtagline,landing,LandingPage,MarketingLanding,hero_subtagline,"自动监控 Claude Code、Cursor、Codex 等工具的 Token 用量。本地优先、注重隐私、零配置。",,active
landing.v3.hero.kicker,landing,LandingPage,HeroSection,hero_kicker,"Windows 托盘 · 本地仪表盘 · 默认私密",,active
landing.v3.hero.subtitle,landing,LandingPage,HeroSection,hero_subtitle,"由 27 款 AI 编码工具的真实活动驱动：一个会陪你写代码的桌面伙伴，本地优先、开源，隐私从设计开始。",,active
landing.v3.hero.stat_label,landing,LandingPage,HeroSection,hero_stat_label,"社区已追踪的 Token 总量",,active
landing.v3.hero.scroll_hint,landing,LandingPage,HeroSection,hero_scroll_hint,"滚动",,active
landing.v3.stats.devs_syncing,landing,LandingPage,HeroSection,stats_devs_syncing,"{{count}} 位用户正在同步",,active
landing.v3.stats.fallback_tokens,landing,LandingPage,HeroSection,stats_fallback_tokens,"2200000000000",,active
landing.v3.stats.fallback_devs,landing,LandingPage,HeroSection,stats_fallback_devs,"600",,active
landing.v3.tools.count,landing,LandingPage,ToolsStrip,tools_count,"开箱即用支持 {{count}}+ 款 AI 编码工具。",,active
landing.v3.how.kicker,landing,LandingPage,HowItWorksSection,how_kicker,"工作原理",,active
landing.v3.how.title,landing,LandingPage,HowItWorksSection,how_title,"从敲下回车到仪表板，只需毫秒。",,active
landing.v3.how.subtitle,landing,LandingPage,HowItWorksSection,how_subtitle,"无需代理，无需粘贴 API Key。TokenTracker 直接读取 CLI 已经写在本地的用量数据——全程在你的机器上完成。",,active
landing.v3.how.step1.title,landing,LandingPage,HowItWorksSection,how_step1_title,"照常使用你的 Agent",,active
landing.v3.how.step1.body,landing,LandingPage,HowItWorksSection,how_step1_body,"Claude Code、Codex、Cursor、Gemini——保持你现有的工作方式，一切照旧。",,active
landing.v3.how.step2.title,landing,LandingPage,HowItWorksSection,how_step2_title,"Hook 捕获用量",,active
landing.v3.how.step2.body,landing,LandingPage,HowItWorksSection,how_step2_body,"每一轮对话的 Token 数直接从 CLI 自己的本地会话日志中解析。",,active
landing.v3.how.step3.title,landing,LandingPage,HowItWorksSection,how_step3_title,"在本机排队落盘",,active
landing.v3.how.step3.body,landing,LandingPage,HowItWorksSection,how_step3_body,"用量被规范化后追加写入 ~/.tokentracker 下的队列文件，数据不出你的磁盘。",,active
landing.v3.how.step4.title,landing,LandingPage,HowItWorksSection,how_step4_title,"实时渲染",,active
landing.v3.how.step4.body,landing,LandingPage,HowItWorksSection,how_step4_body,"本地仪表板即时聚合每个工具、每个模型、每个小时的数据。",,active
landing.v3.cap.kicker,landing,LandingPage,CapabilitiesSection,cap_kicker,"尽收眼底",,active
landing.v3.cap.title,landing,LandingPage,CapabilitiesSection,cap_title,"一个仪表板，装下所有 Agent。",,active
landing.v3.cap.subtitle,landing,LandingPage,CapabilitiesSection,cap_subtitle,"开销、额度、节奏与模型——你的 AI 用量全景，实时在本地聚合。",,active
landing.v3.cap.limits.title,landing,LandingPage,CapabilitiesSection,cap_limits_title,"额度雷达",,active
landing.v3.cap.limits.body,landing,LandingPage,CapabilitiesSection,cap_limits_body,"跨 Provider 监控 5 小时、每周与每月窗口——在任务中途撞墙之前就心中有数。",,active
landing.v3.cap.heatmap.title,landing,LandingPage,CapabilitiesSection,cap_heatmap_title,"365 天活跃热力图",,active
landing.v3.cap.heatmap.body,landing,LandingPage,CapabilitiesSection,cap_heatmap_body,"GitHub 风格的编码节奏一览——每个小时都在你的本机上分桶统计。",,active
landing.v3.privacy.kicker,landing,LandingPage,PrivacySection,privacy_kicker,"本地优先",,active
landing.v3.privacy.title,landing,LandingPage,PrivacySection,privacy_title,"你的 Prompt 永远不会离开你的机器。",,active
landing.v3.privacy.p1,landing,LandingPage,PrivacySection,privacy_p1,"只统计 Token 数",,active
landing.v3.privacy.p2,landing,LandingPage,PrivacySection,privacy_p2,"不收集 Prompt 与代码",,active
landing.v3.privacy.p3,landing,LandingPage,PrivacySection,privacy_p3,"GitHub 开源",,active
landing.v3.download.title,landing,LandingPage,DownloadSection,download_title,"30 秒开始追踪。",,active
landing.v3.download.subtitle,landing,LandingPage,DownloadSection,download_subtitle,"一条命令，或一次下载。免费、开源、属于你。",,active
identity_card.rank_label,ui,IdentityCard,IdentityCard,rank_label,"开始使用",,active
identity_card.streak_label,ui,IdentityCard,IdentityCard,streak_label,"活跃天数",,active
identity_card.rank_placeholder,ui,IdentityCard,IdentityCard,rank_placeholder,"—",,active
identity_card.streak_value,ui,IdentityCard,IdentityCard,streak_value,"{{days}} 天",,active
dashboard.core_index.collapse_label,dashboard,DashboardPage,UsagePanel,toggle,"▾",,active
